Question,Answer,Trust,Responsiveness,Sentiment,Score
What is the population of Krishnagiri?,"As per 2011 census, Krishnagiri has 1,879,809 people.",1,1,neutral,95
What is the literacy rate in Krishnagiri?,Literacy rate in Krishnagiri is 63.2% according to 2011 census.,1,1,neutral,90
Name the major rivers in Krishnagiri.,Thenpennai and Pambar are the major rivers in the district.,1,1,neutral,90
What is the total area of Krishnagiri district?,"Krishnagiri covers an area of 5,143 km².",1,1,neutral,92
What are the geographical coordinates of Krishnagiri?,"Latitude 11°12′N to 12°49′N, Longitude 77°27′E to 78°38′E.",1,1,neutral,90
Which districts and states border Krishnagiri?,"Borders Vellore and Thiruvannamalai to east, Dharmapuri to south, Karnataka to west, Andhra Pradesh to north.",1,1,neutral,92
Name some famous temples in Krishnagiri.,Kattuveera Anjaneya Temple and Shree Parshwa Padmavathi Shakti Peeth Tirth Dham are famous temples.,1,1,positive,95
Which festivals are celebrated in Krishnagiri?,"Pongal, Diwali, and Navaratri are celebrated widely.",1,1,positive,92
Name a historical monument in Krishnagiri.,Krishnagiri Fort is a notable historical monument.,1,1,neutral,90
Which tourist attractions are in Krishnagiri?,"Krishnagiri Fort, Thally Garden, Government Museum, and Dr. C. Rajagopalachari Memorial.",1,1,positive,95
Name major colleges in Krishnagiri.,"Annai Sathiya Government Arts College, Government Arts and Science College Hosur.",1,1,neutral,90
Name research institutes in Krishnagiri.,"College of Poultry Production and Management, Horticultural College & Research Institute Jeenur.",1,1,neutral,90
Who is the current District Collector?,"Thiru C. Dinesh Kumar, I.A.S., is the current District Collector.",1,1,neutral,92
Name the main highways in Krishnagiri.,"NH-7, NH-46, NH-66 pass through Krishnagiri.",1,1,neutral,90
Which railway stations serve Krishnagiri?,Hosur Railway Station serves the district; a proposed Jolarpet–Hosur–Krishnagiri line is under planning.,1,1,neutral,90
Name nearby airports to Krishnagiri.,"Bengaluru International Airport (90 km), Salem Airport (100 km), Hosur Airport (private).",1,1,neutral,90
What are the main crops of Krishnagiri?,"Groundnut, sunflower, cotton, and horticultural produce.",1,1,neutral,92
Name some industries in Krishnagiri.,"Textile, granite, and small-scale manufacturing industries.",1,1,neutral,90
What is the main language spoken in Krishnagiri?,"Tamil is the main language, followed by Telugu and Kannada.",1,1,neutral,92
Name the major communities in Krishnagiri.,"Predominantly Hindu, with Muslim and Christian minorities.",1,1,neutral,90
How many hospitals are there in Krishnagiri?,Krishnagiri has multiple government and private hospitals across the district.,1,1,neutral,90
Name some health programs in Krishnagiri.,"Maternal & child health, immunization campaigns, disease prevention initiatives.",1,1,positive,92
What is the elevation of Krishnagiri?,"Elevation ranges from 300 m to 1,400 m above sea level.",1,1,neutral,90
What is the climate in Krishnagiri?,"Hot in eastern plains, moderate in western hills; tropical climate overall.",1,1,neutral,90
Name some dams in Krishnagiri.,Krishnagiri Dam and Kelavarapalli Reservoir are major water bodies.,1,1,neutral,90
Which historical dynasties ruled Krishnagiri?,"Cholas, Vijayanagara Empire, and local Nayaks ruled historically.",1,1,neutral,90
What is the significance of Krishnagiri Fort?,"Built during Vijayanagara rule, it served as a military base and defense point.",1,1,neutral,92
What is Thally Garden famous for?,Scenic landscapes and temperate climate; known as 'Little England'.,1,1,positive,93
Name some museums in Krishnagiri.,Government Museum Krishnagiri displays local culture and artifacts.,1,1,neutral,90
Where is Dr. C. Rajagopalachari Memorial located?,"In Thorapalli, the birthplace of India’s first Governor-General.",1,1,neutral,90
